t,x,y,z,dt,dx,dy,velocity_ms
75.1352,-53.945350646972656,56.00804901123047,0.00197409465909,0.008600000000001273,-0.08335113525390625,-0.0177154541015625,10.798526333603336
75.1444,-54.03373718261719,55.98926544189453,0.0019737125840038,0.00920000000000698,-0.08838653564453125,-0.0187835693359375,10.785021334350338
75.1502,-54.08966064453125,55.97724914550781,0.0019735121168196,0.005799999999993588,-0.0559234619140625,-0.01201629638671875,10.787456416967657
75.1593,-54.176414489746094,55.95859909057617,0.0019732033833861,0.00910000000000366,-0.08675384521484375,-0.018650054931640625,10.730543847318879
75.1684,-54.27193069458008,55.93796157836914,0.0019728615880012,0.00910000000000366,-0.09551620483398438,-0.02063751220703125,10.644466214667894
75.1771,-54.37687301635742,55.91515350341797,0.0019724834710359,0.008699999999990382,-0.10494232177734375,-0.022808074951171875,10.557950995858269
75.1864,-54.47594451904297,55.89352035522461,0.0019721293356269,0.0093000000000103,-0.09907150268554688,-0.021633148193359375,10.56683831312821
75.1919,-54.52477264404297,55.88276672363281,0.0019719572737812,0.00549999999999784,-0.048828125,-0.010753631591796875,10.586076435998882
75.201,-54.60591506958008,55.86489486694336,0.0019716711249202,0.00909999999998945,-0.08114242553710938,-0.017871856689453125,10.589900779718175
75.2102,-54.70994567871094,55.84175491333008,0.0019713949877768,0.00920000000000698,-0.10403060913085938,-0.02313995361328125,10.588981113033313
75.219,-54.81785583496094,55.81769943237305,0.0019711281638592,0.008799999999993702,-0.10791015625,-0.02405548095703125,10.60342660645743
75.2252,-54.8856086730957,55.80247116088867,0.0019709137268364,0.006200000000006867,-0.06775283813476562,-0.015228271484375,10.597191321262438
75.2342,-54.981048583984375,55.78091812133789,0.0019705791492015,0.009000000000000341,-0.09543991088867188,-0.02155303955078125,10.57242758526808
75.2428,-55.06647872924805,55.76152801513672,0.0019703025463968,0.008600000000001273,-0.08543014526367188,-0.019390106201171875,10.535213885589101
75.2519,-55.15182113647461,55.74205017089844,0.0019700506236404,0.00910000000000366,-0.0853424072265625,-0.01947784423828125,10.532059640121659
75.261,-55.241512298583984,55.72148132324219,0.0019697751849889,0.00909999999998945,-0.089691162109375,-0.02056884765625,10.525580969855394
75.2669,-55.30378723144531,55.70710372924805,0.0019695726223289,0.005900000000011119,-0.062274932861328125,-0.014377593994140625,10.511920786752704
75.2759,-55.400169372558594,55.68484878540039,0.0019692589994519,0.00899999999998613,-0.09638214111328125,-0.02225494384765625,10.499230296768365
75.2849,-55.49169921875,55.66350936889648,0.0019691735506057,0.009000000000000341,-0.09152984619140625,-0.021339416503913355,10.495076902010014
75.294,-55.58446502685547,55.641868591308594,0.0019690999761223,0.00910000000000366,-0.09276580810546875,-0.02164077758788352,10.506169608136815
75.303,-55.66968536376953,55.6218147277832,0.0019690894987434,0.009000000000000341,-0.0852203369140625,-0.020053863525390625,10.516123594217651
75.3088,-55.72383117675781,55.60905075073242,0.0019690894987434,0.005800000000007799,-0.05414581298828125,-0.01276397705078125,10.507228254221099
75.3179,-55.81306076049805,55.58796691894531,0.0019691451452672,0.00909999999998945,-0.08922958374023438,-0.021083831787109375,10.479684112124072
75.327,-55.91933441162109,55.56267547607422,0.0019694133661687,0.00910000000000366,-0.10627365112303977,-0.02529144287109375,10.441607932864535
75.3355,-56.015716552734375,55.53969192504883,0.0019696888048201,0.008499999999997954,-0.09638214111328836,-0.022983551025390625,10.396667111673311
75.3419,-56.08151626586914,55.52382659912109,0.0019700152333825,0.006399999999999295,-0.06579971313476562,-0.01586532592774148,10.35510743267582
75.3509,-56.17463302612305,55.50138092041016,0.0019704767037183,0.009000000000000341,-0.09311676025390625,-0.02244567871092329,10.341281876389587
75.3596,-56.23981857299805,55.48553085327149,0.0019710375927388,0.008700000000004593,-0.065185546875,-0.015850067138671875,10.329501642999062
75.3687,-56.30352783203125,55.470008850097656,0.0019716413225978,0.00910000000000366,-0.06370925903320312,-0.01552200317383523,10.352322162116723
75.3776,-56.36652755737305,55.45466232299805,0.0019722383003681,0.008899999999997021,-0.06299972534179688,-0.015346527099609375,10.380807776358392
75.3836,-56.433197021484375,55.43820190429688,0.001973352394998,0.006000000000000227,-0.06666946411132812,-0.01646041870116477,10.363907172758276
75.3927,-56.53641128540039,55.4127197265625,0.0019750983919948,0.00910000000000366,-0.10321426391601562,-0.025482177734382105,10.30466563477803
75.4016,-56.63645935058594,55.38798522949219,0.0019768651109188,0.008899999999997021,-0.10004806518554688,-0.0247344970703125,10.264736087284788
75.4105,-56.73771286010742,55.36267852783203,0.001979432767257,0.008899999999997021,-0.10125350952148438,-0.02530670166015625,10.26057541646919
75.4197,-56.84152603149414,55.33673095703125,0.0019820653833448,0.00920000000000698,-0.10381317138671875,-0.02594757080078125,10.258422935146275
75.4258,-56.89979553222656,55.32201385498047,0.0019838227890431,0.006099999999989336,-0.058269500732421875,-0.01471710205078125,10.242720781740621
75.4348,-56.98012924194336,55.30165481567383,0.001986376941204,0.009000000000000341,-0.08033370971679688,-0.020359039306640625,10.185491829951042
75.4434,-57.05881881713867,55.28170394897461,0.0019888945389539,0.008600000000001273,-0.0786895751953125,-0.01995086669921875,10.082710146072346
75.4523,-57.15427017211914,55.25718688964844,0.0019926391541957,0.008899999999997021,-0.09545135498046875,-0.024517059326171875,9.988508165350556
75.4585,-57.22062301635742,55.24014663696289,0.0019952424336224,0.006200000000006867,-0.06635284423828125,-0.017040252685546875,9.905960999345462
75.4673,-57.311279296875,55.21673583984375,0.0019988769199699,0.008799999999993702,-0.09065628051757812,-0.023410797119140625,9.90680778192656
75.4765,-57.39772033691406,55.19422912597656,0.002002456691116,0.00920000000000698,-0.0864410400390625,-0.0225067138671875,9.918127759638196
75.4853,-57.48250961303711,55.17211151123047,0.0020060061942785,0.008799999999993702,-0.08478927612304688,-0.02211761474609375,9.912552143026163
75.4944,-57.58029556274414,55.14630889892578,0.0020104779396206,0.00910000000000366,-0.09778594970703125,-0.0258026123046875,9.903961177309483
75.5003,-57.64476013183594,55.12929534912109,0.0020134255755692,0.005899999999996908,-0.06446456909179688,-0.017013549804694605,9.910558964766658
75.5093,-57.73649215698242,55.10486602783203,0.0020178516861051,0.009000000000000341,-0.09173202514648438,-0.024429321289055395,9.906607811625555
75.5185,-57.82794952392578,55.08039093017578,0.0020223846659064,0.00920000000000698,-0.09145736694335938,-0.02447509765625,9.906926479408941
75.5277,-57.91456985473633,55.05702972412109,0.0020264235790818,0.00919999999999277,-0.08662033081054688,-0.023361206054694605,9.913395689158154
75.5334,-57.966087341308594,55.0430793762207,0.0020287518855184,0.005700000000004479,-0.051517486572265625,-0.01395034790038352,9.896723270603504
