time,x,y,z,velocity,speed_limit
112.8488,-17.7187,-0.9481,0.1543,25.1168130143624,20.2033455596681
112.8587,-17.8707,-0.9478,0.1543,27.3011542857334,20.2033455596681
112.881,-18.0493,-0.9474,0.1543,36.9084794061703,20.2033455596681
112.8917,-18.1352,-0.9473,0.1542,36.9084794061703,20.2033455596681
112.9118,-18.2972,-0.9469,0.1542,36.9084794061703,20.2033455596681
112.9219,-18.4572,-0.9466,0.1542,36.1024965586665,20.2033455596681
112.9543,-18.6435,-0.9463,0.1542,22.8860708451357,20.2033455596681
112.9741,-18.805,-0.946,0.1542,22.8554465928996,20.2033455596681
112.9927,-18.9574,-0.9457,0.1542,22.6320660351523,20.2033455596681
113.007,-19.0744,-0.9454,0.1542,22.6320660351523,20.2033455596681
113.0217,-19.1947,-0.9452,0.1542,22.5127354554465,20.2033455596681
113.0362,-19.3132,-0.945,0.1542,22.6183970905971,20.2033455596681
113.0488,-19.4167,-0.9448,0.1542,22.6183970905971,20.2033455596681
113.071,-19.5985,-0.9444,0.1542,30.2030054588909,20.2033455596681
113.0814,-19.6835,-0.9442,0.1542,30.2030054588909,20.2033455596681
113.1026,-19.8577,-0.9439,0.1542,32.640442360665,20.2033455596681
113.1154,-19.962,-0.9437,0.1542,32.640442360665,20.2033455596681
113.1292,-20.0751,-0.9435,0.1542,32.640442360665,20.2033455596681
113.1509,-20.2526,-0.9431,0.1542,26.9312993891266,20.2033455596681
113.1617,-20.3408,-0.943,0.1542,26.8905821731657,20.2033455596681
113.1807,-20.4948,-0.9427,0.1542,26.8905821731657,20.2033455596681
113.2011,-20.5728,-0.9425,0.1542,26.4880025198996,20.2033455596681
113.2139,-20.7646,-0.9421,0.1542,26.7419489289481,20.2033455596681
113.2263,-20.8646,-0.942,0.1542,26.7419489289481,20.2033455596681
113.2395,-20.9711,-0.9417,0.1543,25.3251922809294,20.2033455596681
113.2638,-21.0586,-0.9416,0.1543,25.3251922809294,20.2033455596681
113.2794,-21.2923,-0.9411,0.1543,22.9778622744219,20.2033455596681
